"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:46:18 EET 2024","Wed Jul 10 13:46:19 EET 2024","1499","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_CashierServices","GoooBigTestCases.GoooBig_CashierServices","testcase3","testcase3",""
"passed","Wed Jul 10 13:32:58 EET 2024","Wed Jul 10 13:33:23 EET 2024","24394","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_BoxOperation","GoooBigTestCases.GoooBig_BoxOperation","testcase4","testcase4",""
"passed","Wed Jul 10 13:29:34 EET 2024","Wed Jul 10 13:29:40 EET 2024","5748","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Favorite","GoooBigTestCases.GoooBig_Favorite","verify_favorite_screen","verify_favorite_screen","Verify favorite screen"
"passed","Thu Jul 11 09:47:09 EET 2024","Thu Jul 11 09:47:12 EET 2024","3823","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","VerifyToAddClientWithNameOnly","VerifyToAddClientWithNameOnly","This test attempts to Verify Add Client With Name Only."
"passed","Wed Jul 10 13:43:35 EET 2024","Wed Jul 10 13:44:16 EET 2024","41663","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_PostPaid","GoooBigTestCases.GoooBig_PostPaid","CreateAnPostPaidInvoice","CreateAnPostPaidInvoice","This test attempts to Small Tax Invoice with discount over Product level"
"passed","Wed Jul 10 13:46:24 EET 2024","Wed Jul 10 13:46:30 EET 2024","5543","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_CashierServices","GoooBigTestCases.GoooBig_CashierServices","testcase5","testcase5",""
"passed","Wed Jul 10 13:30:48 EET 2024","Wed Jul 10 13:31:06 EET 2024","17544","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyToAddClientWithValidData","VerifyToAddClientWithValidData","This test attempts to Verify Add Client With Valid Data."
"passed","Thu Jul 11 09:49:41 EET 2024","Thu Jul 11 09:50:19 EET 2024","37847","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","verifyToPayAnAmount","verifyToPayAnAmount","This test attempts to Update Clients from Update Screen."
"passed","Wed Jul 10 13:28:57 EET 2024","Wed Jul 10 13:29:05 EET 2024","8058","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","LoginToOrganizationUsingValidData","LoginToOrganizationUsingValidData","This test attempts to Login to organization using valid UserId, password."
"passed","Wed Jul 10 13:27:05 EET 2024","Wed Jul 10 13:27:25 EET 2024","20177","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Preparation","GoooBigTestCases.GoooBig_Preparation","prepareOrganizationUsingUserIdAndAnEmptyData","prepareOrganizationUsingUserIdAndAnEmptyData","This test attempts to prepare organization using UserId and an Empty Data for password and OrganizeId."
"passed","Thu Jul 11 09:46:57 EET 2024","Thu Jul 11 09:47:01 EET 2024","3663","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_ShiftStartTablet","GoooBigTestCasesForTablet.GoooBig_ShiftStartTablet","verifyClickOnApplyWithValidData","verifyClickOnApplyWithValidData","This test attempts to verify click on Apply with valid data."
