"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:31:06 EET 2024","Wed Jul 10 13:31:21 EET 2024","14899","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyToAddClientWithValidSameData","VerifyToAddClientWithValidSameData","This test attempts to Verify Add Client With Valid Same Previous Data."
"broken","Wed Jul 10 13:46:46 EET 2024","Wed Jul 10 13:47:03 EET 2024","17038","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_CashierServices","GoooBigTestCases.GoooBig_CashierServices","testcase7","testcase7",""
"passed","Thu Jul 11 09:45:01 EET 2024","Thu Jul 11 09:45:20 EET 2024","18919","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","prepareOrganizationUsingUserIdPasswordAndAnEmptyData","prepareOrganizationUsingUserIdPasswordAndAnEmptyData","This test attempts to prepare organization using UserId, password and an Empty Data for OrganizeId."
"passed","Wed Jul 10 13:27:25 EET 2024","Wed Jul 10 13:27:42 EET 2024","16982","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Preparation","GoooBigTestCases.GoooBig_Preparation","prepareOrganizationUsingUserIdPasswordAndAnEmptyData","prepareOrganizationUsingUserIdPasswordAndAnEmptyData","This test attempts to prepare organization using UserId, password and an Empty Data for OrganizeId."
"broken","Wed Jul 10 13:30:21 EET 2024","Wed Jul 10 13:30:48 EET 2024","26821","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyToAddClientWithInvalidPhoneData","VerifyToAddClientWithInvalidPhoneData","This test attempts to Verify Add Client With invalid Phone Data."
"passed","Wed Jul 10 13:36:01 EET 2024","Wed Jul 10 13:36:43 EET 2024","42433","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","SmallTaxInvoiceWithDiscountOverInvoiceLevel","SmallTaxInvoiceWithDiscountOverInvoiceLevel","This test attempts to Small Non Tax Invoice With Discount over Invoice level"
"passed","Wed Jul 10 13:46:08 EET 2024","Wed Jul 10 13:46:11 EET 2024","2715","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_CashierServices","GoooBigTestCases.GoooBig_CashierServices","testcase1","testcase1",""
"passed","Thu Jul 11 09:47:04 EET 2024","Thu Jul 11 09:47:05 EET 2024","825","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","NavigateToaddClient","NavigateToaddClient","This test attempts to verify the add client screen is displayed."
"passed","Wed Jul 10 13:35:02 EET 2024","Wed Jul 10 13:36:01 EET 2024","59388","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","SmallTaxInvoiceWithDiscountOverProductLevel","SmallTaxInvoiceWithDiscountOverProductLevel","This test attempts to Small Tax Invoice with discount over Product level"
"passed","Wed Jul 10 13:42:51 EET 2024","Wed Jul 10 13:43:35 EET 2024","43887","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_PendingInvoice","GoooBigTestCases.GoooBig_PendingInvoice","PendingInvoiceTestCase","PendingInvoiceTestCase","This test attempts to Small Non Tax Invoice with discount over Product level and make it Pending invoice"
"passed","Wed Jul 10 13:42:25 EET 2024","Wed Jul 10 13:42:51 EET 2024","25991","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_NoticeCreditor","GoooBigTestCases.GoooBig_NoticeCreditor","VerifyToCreateANoticeCreditorInvoice","VerifyToCreateANoticeCreditorInvoice","This test attempts to Navigate to Make Notice Creditor invoice."
"passed","Thu Jul 11 09:50:19 EET 2024","Thu Jul 11 09:50:51 EET 2024","32662","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_InvoicesTablet","GoooBigTestCasesForTablet.GoooBig_InvoicesTablet","SmallTaxInvoiceWithDiscountOverProductLevel","SmallTaxInvoiceWithDiscountOverProductLevel","This test attempts to Small Tax Invoice with discount over Product level"
"passed","Wed Jul 10 13:40:13 EET 2024","Wed Jul 10 13:41:05 EET 2024","52788","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","A4NonTaxInvoiceWithDiscountOverProductLevel","A4NonTaxInvoiceWithDiscountOverProductLevel","This test attempts to A4 Non Tax Invoice with discount over Product level"
"passed","Wed Jul 10 13:29:05 EET 2024","Wed Jul 10 13:29:10 EET 2024","5187","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_branchesAndWarehouses","GoooBigTestCases.GoooBig_branchesAndWarehouses","verifySelectWarehouse","verifySelectWarehouse","This test attempts to verify Select Warehouse."
"passed","Wed Jul 10 13:29:40 EET 2024","Wed Jul 10 13:29:41 EET 2024","871","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","NavigateToClientsScreen","NavigateToClientsScreen","This test attempts to verify the header of clients screen is Displayed."
"passed","Thu Jul 11 09:46:28 EET 2024","Thu Jul 11 09:46:33 EET 2024","4686","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_LoginTablet","GoooBigTestCasesForTablet.GoooBig_LoginTablet","GetTextFromLoginScreen","GetTextFromLoginScreen","This test attempts to Get Text"
"passed","Thu Jul 11 09:47:01 EET 2024","Thu Jul 11 09:47:03 EET 2024","2484","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_ShiftStartTablet","GoooBigTestCasesForTablet.GoooBig_ShiftStartTablet","verifyNumberOfStartingShift","verifyNumberOfStartingShift","This test attempts to verify The Number of Starting Shift."
